wp,wf,P,stages,volume,n1,Pd1,Np1,Helix1,n2,Pd2,Np2,Helix2,Pd3,Np3,Helix3,s1_bending,s1_contact,s2_bending,s2_contact,s3_bending,s3_contact
1500,225.0,6.25,2,270.8095011337867,2.8000000000000016,8,12,20,,8,16,15,,,,8.80927600891904,115.1226372838742,13.424372913220376,121.15008477807324,,
1510,225.83333333333331,6.291666666666667,2,263.3482215596191,2.5000000000000013,10,18,25,,10,22,20,,,,12.756619592986214,114.61652367968193,18.19242233389488,127.8719571832206,,
1520,226.66666666666669,6.333333333333333,2,252.5924077556375,2.9000000000000017,10,18,25,,10,24,20,,,,12.667446193034198,112.01119224603731,18.95337749097509,127.8017092119857,,
1530,227.5,6.375,2,245.3775820251179,2.8000000000000016,8,14,25,,10,20,15,,,,9.23368300315515,109.85370663020605,16.78004111519539,128.7695434733655,,
1540,228.33333333333334,6.416666666666667,2,243.09555769690428,2.9000000000000017,8,12,25,,6,12,20,,,,10.90361898933965,129.18945435860667,10.545020965968197,127.53737264344653,,
1550,229.16666666666666,6.458333333333333,2,256.9839421487602,2.4000000000000012,10,20,25,,8,14,15,,,,10.399472886467667,103.290755379179,13.40637426214601,127.43642695856413,,
1560,230.0,6.5,2,275.53032448849126,3.400000000000002,8,12,25,,8,18,15,,,,10.831809206790526,126.27999789446392,14.294231011959246,120.39451149174378,,
1570,230.83333333333334,6.541666666666667,2,271.5685530320999,2.4000000000000012,10,18,25,,8,16,20,,,,12.817794126169034,115.61694871528935,14.642695365850424,125.23896653562797,,
1580,231.66666666666666,6.583333333333333,2,270.41107939362814,2.8000000000000016,8,14,25,,6,12,20,,,,9.253228113983425,110.01978321849742,10.177888959628758,124.5761764439856,,
1590,232.5,6.625,2,261.27360307550003,2.4000000000000012,10,20,25,,8,14,15,,,,10.417614194228555,103.41795539557916,13.415880809854112,127.34250576508198,,
