wp  , wf   , P   , n1 , Pnd, Np1, Helix, Np2, Pnd2, Helix2, sigma_bend_stage1 , percent_diff_bend_stage1, sigma_contact_stage1, percent_diff_contact_stage1, sigma_bend_stage2 , percent_diff_bend_stage2, sigma_contact_stage2, percent_diff_contact_stage2, combined_metric
1200, 200.0,  5.0, 2.6,  10,  20,    25,  42,   10,     25, 16.716419363881762,        75.14978839308678,   129.01966501173945,          0.1721780801269406, 31.114336232929915,      16.85231232036338  ,   129.12848926781575,          0.087866638721714 ,  92.26214543229882
1300, 208.3,  5.4, 2.1,  10,  20,    25,  40,   10,     25, 15.684019655488664,        80.55803667054471,   129.0782692250032 ,          0.1267657203114632, 32.701139088747325,      11.904156616518572 ,   129.0833293645261 ,          0.1228455884401443,  92.7118045958149
1400, 216.7,  5.8, 3.8,  10,  18,    25,  44,   10,     25, 17.53747758240426 ,        70.99526047508718,   127.56451968750764,          1.3064156739739896, 29.744297375755988,      21.31424654924091  ,   128.8681337926461 ,          0.2896951017461763,  93.90561780004823
1500, 225.0,  6.2, 3.2,  10,  18,    25,  42,   10,     25, 16.551586333754805,        75.99923905823307,   126.42607035695802,          2.202801186014688 , 31.10680264011424 ,      16.876355685844505 ,   128.74990783563948,          0.3814787591508601,  95.45987468924312
1600, 233.3,  6.7, 2.4,  10,  18,    25,  40,   10,     25, 15.7883331544729  ,        80.00195172744247,   128.35089616079532,          0.6918698865425448, 32.651622387340055,      12.05514963109736  ,   127.63886886468676,          1.2481514426499989,  93.9971226877324
1700, 241.7,  7.1, 2.0,  10,  18,    25,  40,   10,     25, 15.055247436225448,        83.95730901787383,   129.08537582083153,          0.1212602254567788, 32.46237502054258 ,      12.63421643727236  ,   123.51721662914792,          4.529831550515963 , 101.24261723111891
1800, 250.0,  7.5, 1.8,  10,  18,    25,  38,   10,     25, 14.340109757615457,        87.92501017066044,   128.4730504502293 ,          0.5967439995664496, 34.2571444992247  ,       7.266521374909521 ,   127.7946819683551 ,          1.1261567964241532,  96.91443234156056
1900, 258.3,  7.9, 1.6,  10,  18,    25,  38,   10,     25, 13.714762856045702,        91.48653304933552,   128.5833738036855 ,          0.5109087492808062, 34.215973229927826,       7.386615286113391 ,   125.59042864081296,          2.865860815802172 , 102.2499179005319
2000, 266.7,  8.3, 2.7,  10,  16,    25,  40,   10,     25, 14.456354098274108,        87.27253773254972,   129.062777492268  ,          0.1387682484791497, 32.57489377222018 ,      12.289546411917756 ,   125.74133619836104,          2.745798101030142 , 102.44665049397678
2100, 275.0,  8.8, 2.4,  10,  16,    25,  40,   10,     25, 13.897766096330406,        90.43519262287724,   128.7412287692549 ,          0.3882199886667833, 32.436738396636926,      12.71290374207696  ,   123.08268834183818,          4.882052326023248 , 108.41836867964425
