wp  , wf                , P                 , stages, volume            , n1                , Pd1, Np1, Helix1, n2, Pd2, Np2, Helix2, Pd3, Np3, Helix3, s1_bending        , s1_contact        , s2_bending        , s2_contact        , s3_bending, s3_contact
1200, 200.0             ,  5.0              ,      2, 197.76314074074062, 2.7000000000000015,  10,  16,     25,   ,  10,  20,     15,    ,    ,       , 14.22345794458615 , 127.10017470511639, 16.095058801452048, 127.16879881519493,           , 
1205, 200.41666666666669,  5.020833333333333,      2, 198.3690678128631 , 2.7000000000000015,  10,  16,     25,   ,  10,  20,     15,    ,    ,       , 14.226991318358937, 127.1234135244125 , 16.09623790911158 , 127.14121245950638,           , 
1210, 200.83333333333331,  5.041666666666667,      2, 198.97334610527946, 2.7000000000000015,  10,  16,     25,   ,  10,  20,     15,    ,    ,       , 14.230514979491378, 127.14657841427142, 16.097416081844397, 127.11392595852674,           , 
1215, 201.25            ,  5.0625           ,      2, 208.6742854635237 , 3.0000000000000018,   8,  12,     25,   ,   8,  18,     20,    ,    ,       , 10.73156280248795 , 127.16935172496653, 15.951592235250489, 128.2614131029522 ,           , 
1220, 201.66666666666669,  5.083333333333333,      2, 200.17697586129245, 2.7000000000000015,  10,  16,     25,   ,  10,  20,     15,    ,    ,       , 14.237533434497914, 127.19268859909894, 16.09976968141458 , 127.0602374088643 ,           , 
1225, 202.08333333333331,  5.104166666666667,      2, 210.57279785971596, 2.9000000000000017,  10,  16,     25,   ,  10,  24,     20,    ,    ,       , 14.185265473914441, 125.81838241116047, 18.81259173344113 , 129.00483529514747,           , 
1230, 202.5             ,  5.125            ,      2, 201.374069065804  , 2.7000000000000015,  10,  16,     25,   ,  10,  20,     15,    ,    ,       , 14.244513843413218, 127.23850958314253, 16.102119714643642, 127.0077035505156 ,           , 
1235, 202.91666666666669,  5.145833333333333,      2, 212.8244568802222 , 2.9000000000000017,  10,  16,     25,   ,   8,  18,     20,    ,    ,       , 14.192199797146225, 125.86355868834553, 15.429397762566685, 125.33982380132203,           , 
1240, 203.33333333333331,  5.166666666666667,      2, 202.56466482327525, 2.7000000000000015,  10,  16,     25,   ,  10,  20,     15,    ,    ,       , 14.251456728271252, 127.28404559087488, 16.1044662909157  , 126.95629571363403,           , 
1245, 203.75            ,  5.1875           ,      2, 214.0720786885773 , 2.9000000000000017,  10,  16,     25,   ,   8,  18,     20,    ,    ,       , 14.199096998959766, 125.90845517245508, 15.432797485171221, 125.28540077377487,           , 
1250, 204.16666666666669,  5.208333333333333,      2, 203.7488022706587 , 2.7000000000000015,  10,  16,     25,   ,  10,  20,     15,    ,    ,       , 14.258362599686642, 127.32930075075875, 16.10680951474419 , 126.90598613714083,           , 
1255, 204.58333333333331,  5.229166666666667,      2, 204.3384613637309 , 2.7000000000000015,  10,  16,     25,   ,  10,  20,     15,    ,    ,       , 14.261801811882068, 127.35182427737597, 16.107979900873982, 126.88123476095902,           , 
1260, 205.0             ,  5.25             ,      2, 204.92652056315674, 2.7000000000000015,  10,  16,     25,   ,  10,  20,     15,    ,    ,       , 14.265231957195429, 127.37427909818982, 16.109149485987437, 126.85674793336857,           , 
1265, 205.41666666666669,  5.270833333333333,      2, 215.4711369168358 , 3.0000000000000018,  10,  16,     25,   ,   8,  18,     20,    ,    ,       , 14.185010269366016, 125.3637516587265 , 15.969340249807157, 127.97108663724173,           , 
1270, 205.83333333333331,  5.291666666666667,      2, 206.09785886065376, 2.7000000000000015,  10,  16,     25,   ,  10,  20,     15,    ,    ,       , 14.272065289582887, 127.41898457832605, 16.111486300054008, 126.808555054339  ,           , 
1275, 206.25            ,  5.3125           ,      2, 217.77437333359526, 2.9000000000000017,  10,  16,     25,   ,   8,  18,     20,    ,    ,       , 14.219570852419634, 126.04150578330811, 15.44292325195296 , 125.1288198051546 ,           , 
1280, 206.66666666666669,  5.333333333333333,      2, 207.2628563147954 , 2.7000000000000015,  10,  16,     25,   ,  10,  20,     15,    ,    ,       , 14.27886307519927 , 127.46342104880956, 16.113820048098436, 126.76138225958339,           , 
1285, 207.08333333333331,  5.354166666666667,      2, 207.84298945520496, 2.7000000000000015,  10,  16,     25,   ,  10,  20,     15,    ,    ,       , 14.282248784674447, 127.48553958766105, 16.114985799731016, 126.73817071937742,           , 
1290, 207.5             ,  5.375            ,      2, 208.42155205668718, 2.7000000000000015,  10,  16,     25,   ,  10,  20,     15,    ,    ,       , 14.285625782263708, 127.50759228238543, 16.116150817207764, 126.71520508542618,           , 
1295, 207.91666666666669,  5.395833333333333,      2, 208.9985490054999 , 2.7000000000000015,  10,  16,     25,   ,  10,  20,     15,    ,    ,       , 14.28899412495949 , 127.52957959172414, 16.117315110808217, 126.69248241633278,           , 
1300, 208.33333333333331,  5.416666666666667,      2, 209.57398518518508, 2.7000000000000015,  10,  16,     25,   ,  10,  20,     15,    ,    ,       , 14.292353869157044, 127.55150196942253, 16.11847869057944 , 126.66999981565546,           , 
