wp  , wf                , P                 , stages, volume            , n1                , Pd1, Np1, Helix1, n2, Pd2, Np2, Helix2, Pd3, Np3, Helix3, s1_bending        , s1_contact        , s2_bending        , s2_contact        , s3_bending, s3_contact
1200, 200.0             ,  5.0              ,      2, 207.387972413793  , 2.9000000000000017,  10,  16,     25,   ,  10,  24,     20,    ,    ,       , 14.16776385629312 , 125.70419028076506, 18.802973975751666, 129.14559095972405,           , 
1205, 200.41666666666669,  5.020833333333333,      2, 222.3009369009975 , 2.9000000000000017,  10,  16,     25,   ,   8,  20,     25,    ,    ,       , 14.171283394609603, 125.72717386020919, 15.601829674744526, 126.94552136562689,           , 
1210, 200.83333333333331,  5.041666666666667,      2, 218.22102074688812, 3.0000000000000018,  10,  16,     25,   ,   6,  14,     25,    ,    ,       , 14.147095718060614, 125.11765510154717, 11.635898033598103, 127.32883610566414,           , 
1215, 201.25            ,  5.0625           ,      2, 215.91348989505258, 2.9000000000000017,  10,  16,     25,   ,  10,  22,     15,    ,    ,       , 14.1782935150051  , 125.77292221067478, 15.282743666563038, 119.92274182096224,           , 
1220, 201.66666666666669,  5.083333333333333,      2, 209.29819844955935, 3.0000000000000018,   8,  12,     25,   ,   8,  18,     20,    ,    ,       , 10.734158147658313, 127.19209318017268, 15.953382246619878, 128.23100175933868,           , 
1225, 202.08333333333331,  5.104166666666667,      2, 220.37301831863098, 2.5000000000000013,  10,  16,     25,   ,  10,  22,     20,    ,    ,       , 14.297231392557466, 128.82142298075036, 18.062246967536808, 128.82835454891148,           , 
1230, 202.5             ,  5.125            ,      2, 211.20459565772651, 2.9000000000000017,  10,  16,     25,   ,  10,  24,     20,    ,    ,       , 14.188737307582258, 125.84100577980122, 18.815118473661286, 128.97758874041628,           , 
1235, 202.91666666666669,  5.145833333333333,      2, 227.36035377557752, 3.200000000000002 ,  10,  16,     25,   ,  10,  28,     25,    ,    ,       , 14.11963488319742 , 124.07676364021707, 20.58729850468193 , 127.04991214690517,           , 
1240, 203.33333333333331,  5.166666666666667,      2, 212.46306464891694, 2.9000000000000017,  10,  16,     25,   ,  10,  24,     20,    ,    ,       , 14.19565300653066 , 125.88604165008144, 18.820155340186304, 128.92397030218396,           , 
1245, 203.75            ,  5.1875           ,      2, 213.08974602862287, 2.9000000000000017,  10,  16,     25,   ,  10,  24,     20,    ,    ,       , 14.199096998959766, 125.90845517245508, 18.82266555410101 , 128.8975912093821 ,           , 
1250, 204.16666666666669,  5.208333333333333,      2, 220.13457142857158, 3.0000000000000018,  10,  16,     25,   ,   6,  14,     25,    ,    ,       , 14.174780095540301, 125.29746167252291, 11.642952763277405, 127.08961046960815,           , 
1255, 204.58333333333331,  5.229166666666667,      2, 221.97211185336053, 3.200000000000002 ,  10,  16,     25,   ,  10,  26,     20,    ,    ,       , 14.133322324715822, 124.16501004017812, 18.81808095708383 , 126.10409573969538,           , 
1260, 205.0             ,  5.25             ,      2, 204.92652056315674, 2.7000000000000015,  10,  16,     25,   ,  10,  20,     15,    ,    ,       , 14.265231957195429, 127.37427909818982, 16.109149485987437, 126.85674793336857,           , 
1265, 205.41666666666669,  5.270833333333333,      2, 231.35574726330884, 3.200000000000002 ,  10,  16,     25,   ,  10,  28,     25,    ,    ,       , 14.140111888446059, 124.2087293678152 , 20.604700949186434, 126.88538433854785,           , 
1270, 205.83333333333331,  5.291666666666667,      2, 206.09785886065376, 2.7000000000000015,  10,  16,     25,   ,  10,  20,     15,    ,    ,       , 14.272065289582887, 127.41898457832605, 16.111486300054008, 126.808555054339  ,           , 
