wp,wf,P,stages,volume,n1,Pd1,Np1,Helix1,n2,Pd2,Np2,Helix2,Pd3,Np3,Helix3,s1_bending,s1_contact,s2_bending,s2_contact,s3_bending,s3_contact
1200, 200.0             ,  5.0              ,      2, 217.7326666666668 , 3.0000000000000018,  10,  16,     25,                   ,   6,  14,     25,    ,    ,       , 14.14008005148538 , 125.07199187293415, 11.634127009422606, 127.39182319014296,                   ,    
1205, 200.41666666666669,  5.020833333333333,      2, 213.8920545738047 , 3.0000000000000018,   8,  12,     25,                   ,  10,  22,     15,    ,    ,       , 10.726350740935612, 127.12365189896309, 15.814748763288538, 122.6587588402307 ,                   ,    
1210, 200.83333333333331,  5.041666666666667,      2, 222.9879050435508 , 2.9000000000000017,  10,  16,     25,                   ,   8,  20,     25,    ,    ,       , 14.174793258317045, 125.75008432220828, 15.603445096047627, 126.91740452301833,                   ,    
1215, 201.25            ,  5.0625           ,      2, 209.3040502151762 , 2.9000000000000017,  10,  16,     25,                   ,  10,  24,     20,    ,    ,       , 14.1782935150051  , 125.77292221067478, 18.80784884632001 , 129.0602215394356 ,                   ,    
1220, 201.66666666666669,  5.083333333333333,      2, 209.93928440727368, 2.9000000000000017,  10,  16,     25,                   ,  10,  24,     20,    ,    ,       , 14.181784231507672, 125.79568806320145, 18.81005939585001 , 129.03237831061753,                   ,    
1225, 202.08333333333331,  5.104166666666667,      2, 219.06173846428553, 2.9000000000000017,   8,  12,     25,                   ,  10,  24,     20,    ,    ,       , 10.752738940800796, 127.87921391752639, 18.81259173344113 , 129.00483529514747,                   ,    
1230, 202.5             ,  5.125            ,      2, 216.63121103448287, 2.9000000000000017,  10,  16,     25,                   ,  10,  22,     15,    ,    ,       , 14.188737307582258, 125.84100577980122, 15.28601936365532 , 119.8429796250034 ,                   ,    
1235,202.91666666666669,5.145833333333333,2,219.42435728952782,3.0000000000000018,10,16,25,,6,14,25,,,,14.164468244520009,125.23055877617887,11.640312561911866,127.1770032074197,,
1240,203.33333333333331,5.166666666666667,2,222.5556118444968,2.6000000000000014,10,16,25,,5,10,25,,,,14.279523438276463,128.05846066987982,8.490005415692368,127.70052528940774,,
1245,203.75,5.1875,2,249.5500860987174,3.300000000000002,8,12,25,,6,16,25,,,,10.699290935960235,125.53777249939812,11.065137092320567,117.0767757161093,,
1250,204.16666666666669,5.208333333333333,2,229.36621632653043,3.200000000000002,10,16,25,,10,28,25,,,,14.12991409515674,124.14305013560322,20.596028663116122,126.96635089911273,,
1255,204.58333333333331,5.229166666666667,2,214.33802803939543,2.9000000000000017,10,16,25,,10,24,20,,,,14.205957582411063,125.95307590022848,18.82766975790148,128.84567567974764,,
