wp,wf,P,volume,n1,Pd1,Np1,Helix1,Pd2,Np2,Helix2,s1_bending,s1_contact,s2_bending,s2_contact
1200,200.0,5.0,197.76,2.7,10,16,25,10,20,15,14.22,127.1,16.1,127.17
1205,200.42,5.02,198.37,2.7,10,16,25,10,20,15,14.23,127.12,16.1,127.14
1210,200.83,5.04,198.97,2.7,10,16,25,10,20,15,14.23,127.15,16.1,127.11
1215,201.25,5.06,208.67,3.0,8,12,25,8,18,20,10.73,127.17,15.95,128.26
1220,201.67,5.08,200.18,2.7,10,16,25,10,20,15,14.24,127.19,16.1,127.06
1225,202.08,5.1,210.57,2.9,10,16,25,10,24,20,14.19,125.82,18.81,129.0
1230,202.5,5.12,201.37,2.7,10,16,25,10,20,15,14.24,127.24,16.1,127.01
1235,202.92,5.15,212.82,2.9,10,16,25,8,18,20,14.19,125.86,15.43,125.34
1240,203.33,5.17,202.56,2.7,10,16,25,10,20,15,14.25,127.28,16.1,126.96
1245,203.75,5.19,214.07,2.9,10,16,25,8,18,20,14.2,125.91,15.43,125.29
1250,204.17,5.21,203.75,2.7,10,16,25,10,20,15,14.26,127.33,16.11,126.91
1255,204.58,5.23,204.34,2.7,10,16,25,10,20,15,14.26,127.35,16.11,126.88
1260,205.0,5.25,204.93,2.7,10,16,25,10,20,15,14.27,127.37,16.11,126.86
1265,205.42,5.27,215.47,3.0,10,16,25,8,18,20,14.19,125.36,15.97,127.97
1270,205.83,5.29,206.1,2.7,10,16,25,10,20,15,14.27,127.42,16.11,126.81
1275,206.25,5.31,217.77,2.9,10,16,25,8,18,20,14.22,126.04,15.44,125.13
1280,206.67,5.33,207.26,2.7,10,16,25,10,20,15,14.28,127.46,16.11,126.76
1285,207.08,5.35,207.84,2.7,10,16,25,10,20,15,14.28,127.49,16.11,126.74
1290,207.5,5.38,208.42,2.7,10,16,25,10,20,15,14.29,127.51,16.12,126.72
1295,207.92,5.4,209.0,2.7,10,16,25,10,20,15,14.29,127.53,16.12,126.69
1300,208.33,5.42,209.57,2.7,10,16,25,10,20,15,14.29,127.55,16.12,126.67
1305,208.75,5.44,210.15,2.7,10,16,25,10,20,15,14.3,127.57,16.12,126.65
1310,209.17,5.46,210.72,2.7,10,16,25,10,20,15,14.3,127.6,16.12,126.63
1315,209.58,5.48,211.29,2.7,10,16,25,10,20,15,14.3,127.62,16.12,126.6
1320,210.0,5.5,211.86,2.7,10,16,25,10,20,15,14.31,127.64,16.12,126.58
1325,210.42,5.52,212.43,2.7,10,16,25,10,20,15,14.31,127.66,16.12,126.56
1330,210.83,5.54,212.99,2.7,10,16,25,10,20,15,14.31,127.68,16.13,126.54
1335,211.25,5.56,218.52,3.0,10,16,25,8,18,20,14.23,125.67,15.99,127.61
1340,211.67,5.58,214.12,2.7,10,16,25,10,20,15,14.32,127.72,16.13,126.5
1345,212.08,5.6,214.68,2.7,10,16,25,10,20,15,14.32,127.75,16.13,126.48
1350,212.5,5.62,215.24,2.7,10,16,25,10,20,15,14.33,127.77,16.13,126.46
1355,212.92,5.65,215.8,2.7,10,16,25,10,20,15,14.33,127.79,16.13,126.44
1360,213.33,5.67,216.36,2.7,10,16,25,10,20,15,14.33,127.81,16.13,126.42
1365,213.75,5.69,216.91,2.7,10,16,25,10,20,15,14.34,127.83,16.13,126.4
1370,214.17,5.71,217.47,2.7,10,16,25,10,20,15,14.34,127.85,16.13,126.38
1375,214.58,5.73,218.02,2.7,10,16,25,10,20,15,14.34,127.87,16.14,126.36
1380,215.0,5.75,218.57,2.7,10,16,25,10,20,15,14.34,127.89,16.14,126.34
1385,215.42,5.77,226.62,3.1,8,12,25,10,22,15,10.8,127.28,16.39,124.39
1390,215.83,5.79,219.67,2.7,10,16,25,10,20,15,14.35,127.94,16.14,126.3
1395,216.25,5.81,210.64,2.8,10,16,25,10,20,15,14.33,127.23,16.75,129.24
1400,216.67,5.83,211.16,2.8,10,16,25,10,20,15,14.33,127.25,16.75,129.22
1405,217.08,5.85,223.71,3.0,10,16,25,8,18,20,14.28,125.96,16.02,127.3
1410,217.5,5.88,212.19,2.8,10,16,25,10,20,15,14.34,127.29,16.75,129.18
1415,217.92,5.9,227.84,3.1,8,12,25,10,22,15,10.81,127.4,16.4,124.26
1420,218.33,5.92,213.21,2.8,10,16,25,10,20,15,14.34,127.33,16.75,129.14
1425,218.75,5.94,213.72,2.8,10,16,25,10,20,15,14.35,127.35,16.75,129.12
1430,219.17,5.96,214.22,2.8,10,16,25,10,20,15,14.35,127.37,16.76,129.1
1435,219.58,5.98,214.73,2.8,10,16,25,10,20,15,14.35,127.39,16.76,129.09
1440,220.0,6.0,215.24,2.8,10,16,25,10,20,15,14.35,127.41,16.76,129.07
1445,220.42,6.02,232.6,2.9,10,16,25,6,12,20,14.33,126.75,10.53,127.89
1450,220.83,6.04,216.24,2.8,10,16,25,10,20,15,14.36,127.45,16.76,129.03
1455,221.25,6.06,216.74,2.8,10,16,25,10,20,15,14.36,127.47,16.76,129.01
