wp,wf,P,volume,n1,Pd1,Np1,Helix1,Pd2,Np2,Helix2,s1_bending,s1_contact,s2_bending,s2_contact
1200,200.0,5.0,207.39,2.9,10,16,25,10,24,20,14.17,125.7,18.8,129.15
1205,200.42,5.02,222.3,2.9,10,16,25,8,20,25,14.17,125.73,15.6,126.95
1210,200.83,5.04,218.22,3.0,10,16,25,6,14,25,14.15,125.12,11.64,127.33
1215,201.25,5.06,215.91,2.9,10,16,25,10,22,15,14.18,125.77,15.28,119.92
1220,201.67,5.08,209.3,3.0,8,12,25,8,18,20,10.73,127.19,15.95,128.23
1225,202.08,5.1,220.37,2.5,10,16,25,10,22,20,14.3,128.82,18.06,128.83
1230,202.5,5.12,211.2,2.9,10,16,25,10,24,20,14.19,125.84,18.82,128.98
1235,202.92,5.15,227.36,3.2,10,16,25,10,28,25,14.12,124.08,20.59,127.05
1240,203.33,5.17,212.46,2.9,10,16,25,10,24,20,14.2,125.89,18.82,128.92
1245,203.75,5.19,213.09,2.9,10,16,25,10,24,20,14.2,125.91,18.82,128.9
1250,204.17,5.21,220.13,3.0,10,16,25,6,14,25,14.17,125.3,11.64,127.09
1255,204.58,5.23,221.97,3.2,10,16,25,10,26,20,14.13,124.17,18.82,126.1
1260,205.0,5.25,204.93,2.7,10,16,25,10,20,15,14.27,127.37,16.11,126.86
1265,205.42,5.27,231.36,3.2,10,16,25,10,28,25,14.14,124.21,20.6,126.89
1270,205.83,5.29,206.1,2.7,10,16,25,10,20,15,14.27,127.42,16.11,126.81
1275,206.25,5.31,222.61,3.3,8,12,25,10,26,20,10.71,125.67,19.42,128.56
1280,206.67,5.33,217.43,2.9,10,16,25,10,24,20,14.22,126.06,18.84,128.72
1285,207.08,5.35,233.98,3.2,10,16,25,10,28,25,14.15,124.3,20.62,126.78
1290,207.5,5.38,208.42,2.7,10,16,25,10,20,15,14.29,127.51,16.12,126.72
1295,207.92,5.4,228.16,2.9,8,12,25,10,24,20,10.79,128.19,18.85,128.65
1300,208.33,5.42,209.57,2.7,10,16,25,10,20,15,14.29,127.55,16.12,126.67
1305,208.75,5.44,224.26,3.2,10,16,25,10,26,20,14.17,124.38,18.84,125.84
1310,209.17,5.46,221.08,2.9,10,16,25,10,24,20,14.24,126.19,18.85,128.58
1315,209.58,5.48,224.7,3.2,10,16,25,10,26,20,14.17,124.42,18.85,125.79
1320,210.0,5.5,217.88,3.0,10,16,25,8,18,20,14.22,125.6,15.99,127.68
1325,210.42,5.52,225.14,3.2,10,16,25,10,26,20,14.18,124.47,18.85,125.74
1330,210.83,5.54,223.49,2.9,10,16,25,10,24,20,14.26,126.28,18.86,128.49
1335,211.25,5.56,231.57,3.3,10,16,25,10,28,25,14.17,123.98,21.28,129.09
1340,211.67,5.58,224.68,2.9,10,16,25,10,24,20,14.26,126.32,18.87,128.45
1345,212.08,5.6,224.94,3.1,8,12,25,10,22,15,10.78,127.11,16.38,124.57
1350,212.5,5.62,225.87,2.9,10,16,25,10,24,20,14.27,126.36,18.87,128.4
1355,212.92,5.65,228.53,3.2,10,16,25,10,26,20,14.2,124.59,18.87,125.6
1360,213.33,5.67,229.12,3.2,10,16,25,10,26,20,14.2,124.61,18.87,125.58
1365,213.75,5.69,235.18,3.3,10,16,25,10,28,25,14.19,124.1,21.29,128.95
1370,214.17,5.71,228.22,2.9,10,16,25,10,24,20,14.28,126.45,18.88,128.32
1375,214.58,5.73,236.37,3.3,10,16,25,10,28,25,14.2,124.14,21.3,128.9
1380,215.0,5.75,220.99,3.0,10,16,25,8,18,20,14.26,125.85,16.01,127.41
1385,215.42,5.77,237.55,3.3,10,16,25,10,28,25,14.21,124.18,21.31,128.86
1390,215.83,5.79,228.68,3.0,10,16,25,10,22,15,14.27,125.89,15.86,121.75
1395,216.25,5.81,238.73,3.3,10,16,25,10,28,25,14.21,124.22,21.31,128.82
1400,216.67,5.83,223.17,3.0,10,16,25,8,18,20,14.27,125.93,16.02,127.32
1405,217.08,5.85,230.97,2.9,10,16,25,6,12,20,14.3,126.59,10.53,128.06
1410,217.5,5.88,224.26,3.0,10,16,25,8,18,20,14.28,125.98,16.02,127.28
1415,217.92,5.9,241.06,3.3,10,16,25,10,28,25,14.22,124.3,21.32,128.73
1420,218.33,5.92,229.91,3.0,10,16,25,10,22,15,14.29,126.02,15.86,121.64
1425,218.75,5.94,242.22,3.3,10,16,25,10,28,25,14.23,124.34,21.33,128.69
1430,219.17,5.96,230.32,3.0,10,16,25,10,22,15,14.29,126.06,15.87,121.6
1435,219.58,5.98,230.52,3.0,10,16,25,10,22,15,14.3,126.08,15.87,121.58
1440,220.0,6.0,233.27,3.1,10,16,25,6,14,25,14.27,125.5,12.07,128.9
1445,220.42,6.02,244.52,3.3,10,16,25,10,28,25,14.24,124.42,21.34,128.61
1450,220.83,6.04,233.67,3.1,10,16,25,6,14,25,14.28,125.54,12.07,128.85
1455,221.25,6.06,233.87,3.1,10,16,25,6,14,25,14.28,125.56,12.07,128.83
1460,221.67,6.08,232.86,3.0,10,16,25,10,22,15,14.31,126.18,15.87,121.49
1465,222.08,6.1,239.06,2.9,10,16,25,10,24,20,14.34,126.83,18.93,127.97
1470,222.5,6.12,230.63,3.0,10,16,25,8,18,20,14.32,126.21,16.04,127.05
1475,222.92,6.15,247.92,3.3,10,16,25,10,28,25,14.26,124.54,21.36,128.5
1480,223.33,6.17,234.97,3.0,10,16,25,10,22,15,14.32,126.25,15.88,121.42
1485,223.75,6.19,249.05,3.3,10,16,25,10,28,25,14.27,124.58,21.36,128.46
1490,224.17,6.21,236.02,3.0,10,16,25,10,22,15,14.33,126.29,15.88,121.39
